ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,10000,1,2,2,22,1,1,0,-1,-1,1,371655,186525,-3032,242269,248514,78287,55555,30789,52559,33173,53353,28057,1
2,200000,1,2,2,54,2,-1,-1,3,-1,-1,333474,46535,-4870,381964,35621,163647,59552,4385,20467,14578,55096,12325,0
3,150000,2,4,2,28,1,0,4,-1,-1,-1,27851,158680,281277,284793,181167,313602,20598,37401,4695,23220,19581,1452,1
4,80000,1,1,3,26,0,-1,0,3,-1,4,364867,387681,395587,230033,9359,281632,41795,46954,4287,49685,14904,40866,0
5,80000,1,2,2,34,2,5,-1,0,2,-1,212842,304324,36034,214922,386386,5924,25197,12004,31011,45141,16245,13791,1
6,300000,1,2,2,64,0,7,-1,2,0,-1,345264,26027,58328,292404,337825,234371,54346,54310,38892,22608,43805,31891,0
7,10000,2,2,2,59,-1,-1,0,1,-1,1,289734,293673,56331,139339,144404,303007,43140,22165,53285,24540,27652,34819,0
8,150000,2,3,2,38,0,0,0,0,0,0,73037,334480,238116,362225,7305,306398,7794,36097,35185,36647,8786,22877,0
9,30000,2,2,2,76,-1,-1,6,0,1,0,221080,297012,374395,347530,83803,295071,21719,44333,15288,8029,9653,35228,0
10,10000,1,3,2,77,-1,-1,0,0,-1,0,257236,51633,225637,242338,290905,224945,56500,30434,37947,4273,59227,3357,0
11,100000,2,3,1,28,1,-1,0,0,-1,1,92964,350529,225232,376117,194360,112463,53183,45554,35365,56109,44778,27575,0
12,500000,1,2,2,22,0,0,0,-1,0,-1,297365,234158,48375,13648,56594,293790,5947,30677,35004,35941,23370,42363,0
13,200000,2,3,2,78,0,-1,2,-1,-1,-1,277895,283764,30809,342689,322741,30241,35761,21487,8739,11151,25026,48966,0
14,200000,1,2,1,54,0,-1,3,0,-1,0,142409,258771,75904,104473,313158,234836,10967,25668,34723,36179,59608,13002,0
15,200000,1,3,2,68,0,1,-1,-1,0,6,383277,200410,284682,163659,195575,151605,44688,39858,34953,56264,12496,10573,0
16,200000,2,3,2,62,0,0,-1,0,-1,3,62881,48279,255696,298734,150055,117034,14536,17148,754,30248,24546,29869,0
17,100000,2,2,2,71,-1,2,-1,-1,5,3,398326,261539,216481,318439,353358,358788,49091,44554,37010,5995,37355,28526,0
18,20000,1,1,2,46,-1,-1,-1,-1,0,3,202682,12336,223852,271323,-1062,318254,20492,48970,22068,20319,36733,32450,0
19,300000,1,2,2,48,0,-1,-1,0,0,-1,162747,375544,101963,81851,223612,376455,46043,26355,8669,29360,27691,14904,0
20,80000,1,2,2,77,1,-1,6,-1,0,-1,163985,256711,251135,166716,100542,79961,47035,48872,17947,35249,14279,54877,0
21,100000,2,3,2,59,0,6,2,0,0,-1,145086,244366,264242,275324,294049,372327,22636,20402,9675,24069,43985,225,0
22,50000,1,2,2,38,1,2,-1,0,0,0,307260,308075,371345,334859,311768,175798,23043,3692,26905,5282,30215,36077,0
23,20000,1,2,3,47,0,1,5,-1,0,-1,224335,110701,372283,97953,224395,278058,44538,40064,10569,19290,13082,26393,0
24,500000,1,4,1,22,0,2,1,0,0,-1,52516,212242,209699,31336,-6369,146900,31957,12712,56846,29632,23137,37306,1
